,단축코드,한글 종목명
926,361670,삼영에스앤씨
927,054540,삼영엠텍
928,065570,삼영이엔씨
929,005680,삼영전자공업보통주
930,023000,삼원강재 보통주
931,004380,삼익THK보통주
932,002450,삼익악기보통주
933,032280,삼일
934,002290,삼일기업공사
935,004440,삼일씨엔에스보통주
936,000520,삼일제약보통주
937,009770,삼정펄프 보통주
938,037460,삼지전자
939,032750,삼진
940,054090,삼진엘앤디
941,005500,삼진제약보통주
942,000250,삼천당제약
943,004690,삼천리보통주
944,024950,삼천리자전거
945,038500,삼표시멘트
946,437730,삼현
947,017480,삼현철강
948,010960,삼호개발 보통주
949,046390,삼화네트웍스
950,004450,삼화왕관보통주
951,009470,삼화전기보통주
952,011230,삼화전자공업보통주
953,001820,삼화콘덴서공업보통주
954,000390,삼화페인트공업보통주
955,027580,상보
956,038540,상상인
957,452670,상상인제4호기업인수목적
958,001290,상상인증권보통주
959,041650,상신브레이크보통주
960,091580,상신이디피
961,263810,상신전자
962,089980,상아프론테크
963,042940,상지건설
964,042600,새로닉스
965,075180,새론오토모티브
966,107600,새빗켐
967,411080,샌즈랩
968,252990,샘씨엔에스
969,007540,샘표보통주
970,248170,샘표식품보통주
971,378800,샤페론
972,294630,서남
973,038070,서린바이오사이언스
974,006730,서부티엔디
975,079650,서산
976,100660,서암기계공업
977,007860,서연보통주
978,200880,서연이화보통주
979,019770,서연탑메탈
980,017390,서울도시가스보통주
981,043710,서울리거
982,092190,서울바이오시스
983,046890,서울반도체
984,031210,서울보증보험보통주
986,004410,서울식품공업보통주
987,063170,서울옥션
988,027040,서울전자통신
989,018680,서울제약
990,036120,서울평가정보
991,021050,서원보통주
992,093920,서원인텍
993,189860,서전기전
994,178320,서진시스템
995,122690,서진오토모티브
996,140070,서플러스글로벌
997,011370,서한
998,065710,서호전기
999,008490,서흥보통주
1000,035890,서희건설
1001,357550,석경에이티
1002,003100,선광
1003,007610,선도전기보통주
1004,067370,선바이오
1005,217620,선샤인푸드
1006,002820,선앤엘보통주
1007,171090,선익시스템
1008,136490,선진보통주
1009,086710,선진뷰티사이언스
1010,014620,성광벤드
1011,037350,성도이엔지
1013,014910,성문전자보통주
1015,004980,성신양회보통주
1016,011300,성안머티리얼스보통주
1017,458650,성우
1018,081580,성우전자
1019,045300,성우테크론
1020,015750,성우하이텍
1021,365340,성일하이텍
1022,000180,성창기업지주보통주
1023,080470,성창오토텍
1024,043260,성호전자
1025,148150,세경하이테크
1026,002420,세기상사보통주
1027,188260,세니젠
1028,053060,세동
1029,340440,세림비앤지
1030,017510,세명전기공업
1032,004360,세방보통주
1033,004490,세방전지보통주
1034,011560,세보엠이씨
1035,267080,세븐브로이맥주
1036,396300,세아메카닉스
1037,001430,세아베스틸지주보통주
1038,306200,세아제강보통주
1039,003030,세아제강지주보통주
1040,019440,세아특수강보통주
1041,058650,세아홀딩스보통주
1042,013000,세우글로벌보통주
1043,100700,세운메디칼
1044,024830,세원물산
1045,091090,세원이앤씨보통주
1046,021820,세원정공보통주
1047,067830,세이브존I&C보통주
1048,258830,세종메디칼
1049,036630,세종텔레콤
1050,039310,세중
1051,075580,세진중공업보통주
1052,067770,세진티에스
1053,053450,세코닉스
1054,222810,세토피아
1055,252500,세화피앤씨
1056,321370,센서뷰
1057,347000,센코
1058,331920,셀레믹스
1059,352770,셀레스트라
1060,471820,셀로맥스사이언스
1061,049180,셀루메드
1062,299660,셀리드
1063,108860,셀바스에이아이
1064,208370,셀바스헬스케어
1065,318160,셀바이오휴먼텍
1066,308430,셀비온
1067,068270,셀트리온보통주
1068,068760,셀트리온제약
1069,068940,셀피글로벌
1070,007720,소노스퀘어
1071,060230,소니드
1072,290690,소룩스
1073,950200,소마젠
1074,032680,소프트센
1076,258790,소프트캠프
1077,066910,손오공
1078,215090,솔디펜스
1081,336370,솔루스첨단소재보통주
1082,248070,솔루엠보통주
1083,035610,솔본
1084,357780,솔브레인
1085,036830,솔브레인홀딩스
1086,304100,솔트룩스
1087,328380,솔트웨어
1088,004430,송원산업보통주
1089,086980,쇼박스
1090,017550,수산세보틱스보통주
1091,050960,수산아이앤티
1092,126720,수산인더스트리보통주
1093,084180,수성웹툰
1094,253840,수젠텍
1095,067160,숲
1096,298830,슈어소프트테크
1097,236200,슈프리마
1098,094840,슈프리마에이치큐
1099,192440,슈피겐코리아
1100,424960,스마트레이더시스템
1101,099440,스맥
1102,357880,스카이월드와이드
1103,276040,스코넥엔터테인먼트
1104,204210,스타에스엠자기관리부동산투자회사보통주
1105,060240,스타코링크
1106,115570,스타플렉스
1107,330730,스톤브릿지벤처스
1108,352090,스톰테크
1109,204630,스튜디오 산타클로스 엔터테인먼트
1110,253450,스튜디오드래곤 주식회사
1111,408900,스튜디오미르
1112,415380,스튜디오삼익
1113,026890,스틱인베스트먼트보통주
1114,013810,스페코
1115,347700,스피어
1116,049830,승일
1117,020710,시공테크
1118,033170,시그네틱스
1119,048870,시너지이노베이션
1120,025320,시노펙스
1121,134790,시디즈보통주
1122,340810,시선에이아이
1123,269620,시스웍
1124,000480,시알홀딩스보통주
1125,056090,시지메드텍
1126,429270,시지트로닉스
1127,418250,시큐레터
1128,131090,시큐브
1129,462870,시프트업보통주
1130,016590,신대양제지보통주
